Cuenta,Subcuenta,Objeto,Ordinal,Aporte nacional,Recursos propios,TOTAL,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Unidad,Código de unidad,Cuenta_n,Subcuenta_n,Objeto_n,Ordinal_n
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Ampliación y actualización del sistema integrado de seguridad del congreso de la república  nacional,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,3010571099.0,,3010571099.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,13.0,53105b
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Adecuación y mejoramiento de las instalaciones físicas del senado de la república  nacional,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,1144724120.0,,1144724120.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,14.0,53105b
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Adecuación y mejoramiento de las instalaciones físicas del senado de la república  nacional,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,10855275880.0,,10855275880.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,14.0,53105b
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Restauración de la imagen y funcionalidad de las sedes del senado de la república  nacional,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,7000000000.0,,7000000000.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,15.0,53105b
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento del sistema de gestion documental y de la informacion en la camara de representantes bogota,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,30754562636.0,,30754562636.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,4.0,53105b
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Fortalecimiento y renovación de los servicios de comunicación e información de la cámara de representantes  bogotá,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,55604878564.0,,55604878564.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,6.0,53105b
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y proteccion en los desplazamientos de los servidores publicos de la camara de representantes nacional,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,76640558800.0,,76640558800.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,7.0,53105b
Gastos de personal,Planta de personal permanente,Salario,,81599000000.0,,81599000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,29141000000.0,,29141000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,23924000000.0,,23924000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,,,,78628000000.0,,78628000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,2.0,,,
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz,116880000000.0,,116880000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,1.0,051
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Plan de promoción de colombia en el exterior,2069000000.0,,2069000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,1.0,052
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,"Transferencias para la estrategia de interacción y diálogo permanente entre las autoridades de orden territorial, gobierno nacional y los ciudadanos",7520000000.0,,7520000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,1.0,077
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,26300000000.0,,26300000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,1.0,999
Transferencias corrientes,A entidades del gobierno,A otras entidades del gobierno general,Fondo colombia en paz (fcp) - decreto 691 de 2017,470497000000.0,,470497000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,4.0,036
Transferencias corrientes,A entidades del gobierno,A otras entidades del gobierno general,Fondo mujer emprende. decreto ley 810 de 2020 y ley 2069 de 2020.,80000000000.0,,80000000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,4.0,066
Transferencias corrientes,Prestaciones para cubrir riesgos sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad y paternidad (no de pensiones),144000000.0,,144000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,4.0,2.0,012
Transferencias corrientes,Becas y otros beneficios de educación,Becas y otros beneficios de educación,Transferencia convenios icetex,239000000.0,,239000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,8.0,1.0,002
Transferencias corrientes,Sentencias y conciliaciones,,,751000000.0,,751000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,10.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,406000000.0,,406000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,81000000.0,,81000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,8.0,3.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,824000000.0,,824000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,8.0,4.0,1.0,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Contribución nacional de valorización,,49000000.0,,49000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,8.0,4.0,3.0,
Impulsar el desarrollo integral de las poblaciones con enfoque diferencial desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento en la articulación interinstitucional e intersectorial para la formulación e implementación de políticas públicas que contribuyen al goce efectivo de los derechos de los sujetos de especial protección. nacional,7. actores diferenciales para el cambio / c. instituciones hacia la interlocución con pueblos y comunidades,10682050225.0,,10682050225.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,204.0,1000.0,7.0,70506c
Impulsar el desarrollo integral de las poblaciones con enfoque diferencial desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento en la articulación interinstitucional e intersectorial para la formulación e implementación de políticas públicas que contribuyen al goce efectivo de los derechos de los sujetos de especial protección. nacional,7. actores diferenciales para el cambio / c. instituciones hacia la interlocución con pueblos y comunidades,32931943953.0,,32931943953.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,204.0,1000.0,7.0,70506c
Impulsar el desarrollo integral de las poblaciones con enfoque diferencial desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de acciones para mejorar el acceso a la oferta en prevención de violencias, a través de estrategias de reconstrucción del tejido social y promoción de culturas de paz a nivel  nacional","2. seguridad humana y justicia social / a. prevención y protección para poblaciones vulnerables desde un enfoque diferencial, colectivo e individual",4647621057.0,,4647621057.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,204.0,1000.0,9.0,20106a
Mecanismos de transición hacia la paz a nivel nacional y territorial desde el sector presidencia,Intersubsectorial gobierno,Contribucion para promover la sostenibilidad ambiental y socio-economica en municipios pdet y territorios afectados por el conflicto nacional,6. paz total e integral / 1. hacia un nuevo campo colombiano: reforma rural integral,49634288000.0,,49634288000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,210.0,1000.0,3.0,600011
Mecanismos de transición hacia la paz a nivel nacional y territorial desde el sector presidencia,Intersubsectorial gobierno,Apoyo a la gestión financiera para el desarrollo de programas y proyectos para la implementación del acuerdo final de paz. nacional,6. paz total e integral / 4. solución al problema de las drogas ilícitas,107063636574.0,,107063636574.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,210.0,1000.0,16.0,600014
"Fortalecimiento de las capacidades de articulación estratégica, modernización, eficiencia administrativa, transparencia y acceso a la información desde el sector presidencia",Intersubsectorial gobierno,Fortalecimiento de las capacidades de gestión estratégica del sector público  nacional,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,19272160000.0,,19272160000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,214.0,1000.0,1.0,53105b
"Fortalecimiento de las capacidades de articulación estratégica, modernización, eficiencia administrativa, transparencia y acceso a la información desde el sector presidencia",Intersubsectorial gobierno,Consolidacion de la accion integral contra minas antipersonal a nivel  nacional,6. paz total e integral / 3. desescalamiento de la violencia,14586512583.0,,14586512583.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,214.0,1000.0,2.0,600030
"Fortalecimiento de las capacidades de articulación estratégica, modernización, eficiencia administrativa, transparencia y acceso a la información desde el sector presidencia",Intersubsectorial gobierno,Contribución para la implementación de estrategias en materia de políticas públicas de transparencia y corrupción a nivel  nacional,5. convergencia regional / a. lucha contra la corrupción en las entidades públicas nacionales y territoriales,2116977856.0,,2116977856.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,214.0,1000.0,3.0,53105a
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento y protección de los bienes muebles e inmuebles de la presidencia de la república en  cartagena, bogotá, sopó",5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,3657351283.0,,3657351283.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,299.0,1000.0,4.0,53105b
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,Mejoramiento en la organización técnica del archivo central del dapre a nivel  bogotá,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,1026250149.0,,1026250149.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,299.0,1000.0,5.0,53105b
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la plataforma de tic del departamento administrativo de la presidencia de la república en las sedes de   bogotá, cartagena, sopó",5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,13746382988.0,,13746382988.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,299.0,1000.0,6.0,53105b
Gastos de personal,Planta de personal permanente,Salario,,8348000000.0,,8348000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,3060000000.0,,3060000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,1312000000.0,,1312000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,,,,4499000000.0,,4499000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,2.0,,,
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,,21135000000.0,,21135000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,3.0,2.0,2.0,
Transferencias corrientes,Prestaciones para cubrir riesgos sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad y paternidad (no de pensiones),103000000.0,,103000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,3.0,4.0,2.0,012
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,3000000.0,,3000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,528000000.0,,528000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,8.0,4.0,1.0,
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Fortalecimiento  y articulación de actores e iniciativas de cooperación en el marco del sistema nacional de cooperación internacional a nivel  nacional,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,677432914.0,,677432914.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,12.0,53105b
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,"Aportes para apalancar proyectos de cooperación internacional con recursos de contrapartida nacional desde apc -colombia, fortaleciendo actividades y resultados para comunidades y territorios estratégicos a nivel    nacional",8. estabilidad macroeconómica / 1. administración eficiente de los recursos públicos,1270186714.0,,1270186714.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,13.0,803001
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Distribución de cupo fiscal para facilitar la incorporación recursos de cooperación internacional al presupuesto general de la nación de entidades del orden  nacional - distribucion previo concepto dnp,8. estabilidad macroeconómica / 1. administración eficiente de los recursos públicos,,85681560000.0,85681560000.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,14.0,803001
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,"Administración , gestión y ejecución de los recursos de cooperación internacional que reciben los grupos de interés a nivel  nacional",8. estabilidad macroeconómica / 1. administración eficiente de los recursos públicos,,15322000000.0,15322000000.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,15.0,803001
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Fortalecimiento de las tic para la transformación digital de la agencia presidencial de cooperación internacional de colombia - apc colombia a nivel  nacional,5. convergencia regional / b. entidades públicas territoriales y nacionales fortalecidas,762112028.0,,762112028.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,16.0,53105b
Gastos de personal,Planta de personal permanente,Salario,,8702000000.0,,8702000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,3157000000.0,,3157000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,967000000.0,,967000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,,,,4222000000.0,,4222000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,2.0,,,
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,85718000000.0,,85718000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,3.0,3.0,1.0,999
Transferencias corrientes,A entidades del gobierno,A otras entidades del gobierno general,Atención de desastres y emergencias en el territorio nacional -fondo nacional de gestión del riesgo de desastres,650000000000.0,,650000000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,3.0,3.0,4.0,013
Transferencias corrientes,Prestaciones para cubrir riesgos sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad y paternidad (no de pensiones),80000000.0,,80000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,3.0,4.0,2.0,012
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,11000000.0,,11000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,1836000000.0,,1836000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,8.0,4.0,1.0,
Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la gestión del riesgo de desastres en la  zona de amenaza volcánica alta-zava del volcán galeras  pasto, nariño, la florida","1. ordenamiento del territorio alrededor del agua y justicia ambiental / b. democratización del conocimiento, la información ambiental y de riesgo de desastres",23299385212.0,,23299385212.0,211,Inversión,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,207.0,1000.0,6.0,10201b
Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la política nacional de gestión del riesgo de desastres mediante la valoración del impacto de la implementación del pngrd.  nacional,"1. ordenamiento del territorio alrededor del agua y justicia ambiental / b. democratización del conocimiento, la información ambiental y de riesgo de desastres",908154180.0,,908154180.0,211,Inversión,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,207.0,1000.0,12.0,10201b
Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de los procesos sociales de participación ciudadana, gestión de conocimientos y saberes y divulgación en el marco del  sistema nacional de gestión del riesgo de desastre.  nacional","1. ordenamiento del territorio alrededor del agua y justicia ambiental / b. democratización del conocimiento, la información ambiental y de riesgo de desastres",1378702501.0,,1378702501.0,211,Inversión,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,207.0,1000.0,13.0,10201b
Gastos de personal,Planta de personal permanente,Salario,,34042000000.0,,34042000000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,12341000000.0,,12341000000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,2909000000.0,,2909000000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,,,,9286000000.0,,9286000000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,2.0,,,
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz: programa de reintegración social y económica,258755000000.0,,258755000000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,3.0,3.0,1.0,001
Transferencias corrientes,Prestaciones para cubrir riesgos sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad y paternidad (no de pensiones),150000000.0,,150000000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,3.0,4.0,2.0,012
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,2000000.0,,2000000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,718000000.0,,718000000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,8.0,4.0,1.0,
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,Prevención riesgos de victimización y reincidencia en población en proceso de reintegración y en reincorporación  nacional,5. convergencia regional / c. inclusión de las personas que han dejado las armas y potenciar su participación en las comunidades y territorios donde habitan _,1693582285.0,,1693582285.0,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,211.0,1000.0,3.0,53107c
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la reincorporación de los exintegrantes de las farc-ep  nacional,5. convergencia regional / c. inclusión de las personas que han dejado las armas y potenciar su participación en las comunidades y territorios donde habitan _,423395571.0,,423395571.0,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,211.0,1000.0,4.0,53107c
Gastos de personal,Planta de personal permanente,Salario,,2901000000.0,,2901000000.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,1123000000.0,,1123000000.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,925000000.0,,925000000.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,,,,2886000000.0,,2886000000.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,2.0,,,
