Cuenta,Subcuenta,Objeto,Ordinal,"APORTE 
NACIONAL",RECURSOS PROPIOS,TOTAL,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Unidad,Código de unidad,Cuenta_n,Subcuenta_n,Objeto_n,Ordinal_n
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,"Adecuación de la infraestructura física del senado de la república, a nivel  nacional",,12625000000.0,,12625000000.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,10.0,
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y protección en los desplazamientos de los representantes a la cámara.  nacional,,45000000000.0,,45000000000.0,101,Inversión,Congreso de la república,1,Congreso de la república,,,199.0,1000.0,2.0,
Gastos de personal,Planta de personal permanente,Salario,,55078471760.0,,55078471760.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,22592000000.0,,22592000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,26594528240.0,,26594528240.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,525000000.0,,525000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,2.0,1.0,,
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,41980947020.0,,41980947020.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,2.0,2.0,,
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz : programa desmovilizados,10300000000.0,,10300000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,1.0,51.0
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Plan de promocion de colombia en el exterior,1126000000.0,,1126000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,1.0,52.0
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,"Transferencias para la estrategia de interacción y diálogo permanente entre las autoridades del orden territorial, gobierno nacional y los ciudadanos",7000000000.0,,7000000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,1.0,77.0
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,1797052980.0,,1797052980.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,3.0,1.0,999.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,886000000.0,,886000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,3.0,10.0,1.0,1.0
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,208000000.0,,208000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,64000000.0,,64000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,8.0,3.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,436000000.0,,436000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,8.0,4.0,1.0,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Contribución nacional de valorización,,37000000.0,,37000000.0,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,,,8.0,4.0,3.0,
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Diseño e implementación del sistema nacional de información para el seguimiento, monitoreo y evaluación de la política pública integral en derechos humanos  nacional",,849655385.0,,849655385.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,201.0,1000.0,3.0,
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de las entidades del estado que conforman el sistema nacional de derechos humanos y dih para diseñar, implementar y evaluar la política integral en la materia, y construir una cultura de derechos humanos y dih.  nacional",,400000000.0,,400000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,201.0,1000.0,4.0,
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Desarrollo de la política intersectorial de prevención del reclutamiento, utilización, uso y violencia sexual de niños, niñas y adolescentes por parte de grupos armados al margen de a ley y grupos delictivos organizados   nacional",,1602000000.0,,1602000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,201.0,1000.0,5.0,
Gestión de espacios para fortalecer el desarrollo integral de la primera infancia desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la coordinación y articulación intersectorial para la sostenibilidad en la implementación de la política de estado para el desarrollo integral de la primera infancia a nivel   nacional,,3400000000.0,,3400000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,202.0,1000.0,2.0,
Consolidación de la lucha contra la corrupción desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la institucionalidad, las herramientas y los mecanismos para la promoción y garantía de la transparencia, acceso a la información pública y lucha contra la corrupción a nivel  nacional",,2000000000.0,,2000000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,203.0,1000.0,2.0,
Gestión para impulsar el desarrollo integral de los y las jóvenes desde el sector presidencia,Intersubsectorial gobierno,Mejoramiento de las capacidades para la incidencia y gestión del sistema nacional de juventud a nivel  nacional,,1927848702.0,,1927848702.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,204.0,1000.0,2.0,
Fortalecimiento de las capacidades institucionales en transversalización del enfoque de género dentro de las entidades de los niveles nacional y territorial desde el sector presidencia,Intersubsectorial gobierno,Implementación de los enfoques de género e interseccionalidad en la gestión pública a nivel   nacional,,3260000000.0,,3260000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,205.0,1000.0,2.0,
Acción integral contra minas antipersonal como mecanismo de transición hacia la paz territorial desde el sector presidencia,Intersubsectorial gobierno,Consolidación de la acción integral contra minas antipersonal en el marco del posconflicto a nivel   nacional,,4006741491.0,,4006741491.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,206.0,1000.0,2.0,
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento y protección de los bienes muebles e inmuebles de la presidencia de la república en  cartagena, bogotá, sopó",,7360000000.0,,7360000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,299.0,1000.0,4.0,
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,Mejoramiento en la organización técnica del archivo central del dapre a nivel  bogotá,,2142401636.0,,2142401636.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,299.0,1000.0,5.0,
Fortalecimiento de la gestión y dirección del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la plataforma de tic del departamento administrativo de la presidencia de la república en las sedes de   bogotá, cartagena, sopó",,11500000000.0,,11500000000.0,201,Inversión,Presidencia de la república,2,Presidencia de la república,,,299.0,1000.0,6.0,
Gastos de personal,Planta de personal permanente,Salario,,6486000000.0,,6486000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,2492000000.0,,2492000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,665000000.0,,665000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,3824000000.0,,3824000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,2.0,2.0,,
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Fondo de cooperación y asistencia internacional  (ley 318 de 1996),14869000000.0,,14869000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,3.0,2.0,2.0,137.0
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,1000000.0,,1000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,78000000.0,,78000000.0,209,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,8.0,4.0,1.0,
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la oferta académica internacional de colombia en el marco de la cooperación sur-sur,  nacional",,1323586750.0,,1323586750.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,6.0,
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Implementación de proyectos de cooperación internacional no reembolsable con aporte de recursos de contrapartida  nacional,,2647173502.0,,2647173502.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,7.0,
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Distribución de recursos de cooperación internacional no reembolsable a entidades del orden  nacional - distribución previo concepto dnp,,,30141000000.0,30141000000.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,8.0,
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,"Administración , ejecución y seguimiento de recursos de cooperación internacional a nivel  nacional",,,60891000000.0,60891000000.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,9.0,
Gestión de la cooperación internacional del sector presidencia,Intersubsectorial gobierno,Fortalecimiento de las capacidades tecnológicas de la información en apc-colombia   nacional,,756335286.0,,756335286.0,209,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,,,208.0,1000.0,10.0,
Gastos de personal,Planta de personal permanente,Salario,,6407000000.0,,6407000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,2210000000.0,,2210000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,307000000.0,,307000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,387000000.0,,387000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,2.0,1.0,,
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,3166000000.0,,3166000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,2.0,2.0,,
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,1307000000.0,,1307000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,3.0,3.0,1.0,999.0
Transferencias corrientes,A entidades del gobierno,A otras entidades del gobierno general,Atencion de desastres y emergencias en el territorio nacional -fondo nacional de gestion del riego de desastres,42100000000.0,,42100000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,3.0,3.0,4.0,13.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,132000000.0,,132000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,3.0,10.0,1.0,1.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,132000000.0,,132000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,3.0,10.0,1.0,2.0
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,7000000.0,,7000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,169000000.0,,169000000.0,211,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,8.0,4.0,1.0,
Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento  de la reducción del riesgo de desastres en el marco de la ley 1523 de 2012, por fenómeno de erosión costera en la ciudad de  cartagena",,50000000000.0,,50000000000.0,211,Inversión,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,207.0,1000.0,5.0,
Prevención y mitigación del riesgo de desastres desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de la gestión del riesgo de desastres en la  zona de amenaza volcánica alta-zava del volcán galeras  pasto, nariño, la florida",,20896432618.0,,20896432618.0,211,Inversión,Unidad nacional para la gestión del riesgo de desastres,2,Presidencia de la república,,,207.0,1000.0,6.0,
Gastos de personal,Planta de personal permanente,Salario,,24103002000.0,,24103002000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,8511623000.0,,8511623000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,834955000.0,,834955000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,7816081285.0,,7816081285.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,2.0,2.0,,
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz: programa de reintegracion social y economica,96761506300.0,,96761506300.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,3.0,3.0,1.0,1.0
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,318000.0,,318000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,239764000.0,,239764000.0,212,Funcionamiento,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,8.0,4.0,1.0,
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,"Servicio en generación de espacios de convivencia, reconciliación, reintegración y fortalecimiento de entornos protectores de los nnaj.   nacional",,476029950.0,,476029950.0,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,211.0,1000.0,2.0,
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,Prevención riesgos de victimización y reincidencia en población en proceso de reintegración y en reincorporación  nacional,,510227492.0,,510227492.0,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,211.0,1000.0,3.0,
Reintegración de personas y grupos alzados en armas desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la reincorporación de los exintegrantes de las farc-ep  nacional,,338252255.0,,338252255.0,212,Inversión,Agencia para la reincorporación y la normalización - arn,2,Presidencia de la república,,,211.0,1000.0,4.0,
Gastos de personal,Planta de personal permanente,Salario,,2131112255.0,,2131112255.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,903849700.0,,903849700.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,689129100.0,,689129100.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,2500000.0,,2500000.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,2.0,1.0,,
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,1006097680.0,84600000.0,1090697680.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,2.0,2.0,,
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),10000000.0,,10000000.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,3.0,4.0,2.0,12.0
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,55613820.0,,55613820.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,85490000.0,,85490000.0,213,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,8.0,4.0,1.0,
Fortalecimiento de la infraestructura física de las entidades del estado del nivel nacional desde el sector presidencia,Intersubsectorial gobierno,Renovación urbana ciudad can  bogotá,,3381636511.0,,3381636511.0,213,Inversión,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,209.0,1000.0,3.0,
Fortalecimiento de la infraestructura física de las entidades del estado del nivel nacional desde el sector presidencia,Intersubsectorial gobierno,Desarrollo y formulación de proyectos estratégicos de renovación y desarrollo urbano en municipios y distritos de colombia  nacional,,2563363489.0,,2563363489.0,213,Inversión,Agencia nacional inmobiliaria virgilio barco vargas,2,Presidencia de la república,,,209.0,1000.0,4.0,
Gastos de personal,Planta de personal permanente,Salario,,22039000000.0,,22039000000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,,,1.0,1.0,1.0,
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,7908000000.0,,7908000000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,,,1.0,1.0,2.0,
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,4906000000.0,,4906000000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,,,1.0,1.0,3.0,
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,318000000.0,,318000000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,,,2.0,1.0,,
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,30989337000.0,,30989337000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,,,2.0,2.0,,
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Mesadas pensionales (de pensiones),950000000.0,,950000000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,,,3.0,4.0,2.0,1.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Cuotas partes pensionales (de pensiones),547000000.0,,547000000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,,,3.0,4.0,2.0,2.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Bonos pensionales (de pensiones),390000000.0,,390000000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,,,3.0,4.0,2.0,4.0
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),173300000.0,,173300000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,,,3.0,4.0,2.0,12.0
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,1049000000.0,,1049000000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,,,3.0,10.0,1.0,2.0
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,59000000.0,,59000000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,,,8.0,1.0,,
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,736000000.0,,736000000.0,301,Funcionamiento,Departamento administrativo nacional de planeación,3,Planeación,,,8.0,4.0,1.0,
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Servicio de pago de las obligaciones pendientes de los proyectos aprobados por el consejo asesor de regalías   nacional,,20279306887.0,,20279306887.0,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,,,301.0,1000.0,13.0,
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,"Apoyo capacidades institucionales para la construcción de paz y el análisis, gestión y transformación de conflictos   nacional",,746000000.0,,746000000.0,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,,,301.0,1000.0,14.0,
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,"Diseño  y articulación de los instrumentos, estrategias, lineamientos y demás requerimientos técnicos para el desarrollo de la política pública de protección social   a nivel  nacional",,29575509707.0,,29575509707.0,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,,,301.0,1000.0,15.0,
"Mejoramiento de la planeación territorial, sectorial y de inversión pública",Intersubsectorial gobierno,Fortalecimiento de los mecanismos técnicos y regulatorios que promuevan la vinculación del sector privado en infraestructura productiva y social  nacional,,10103000000.0,,10103000000.0,301,Inversión,Departamento administrativo nacional de planeación,3,Planeación,,,301.0,1000.0,16.0,
